Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Spon Rating,Ind Grp RS,PE Ratio
AACI,9.87,,,0.0,,,,,,,..,
AAEQ,45.38,,-1.65,0.0,,32,C-,,,,C+,
AAUA,47.61,,-1.88,0.0,,42,,,,,C+,
AAUM,18.70,,-1.89,0.0,,19,E,,,,C+,
AAUS,51.10,,-1.71,0.0,,46,E,,,,C+,
ABI,24.83,,0.16,0.0,,52,A+,,,C,C+,
ABOT,32.14,,-2.96,0.0,,25,D,,,,C+,
ABXB,19.28,,-0.26,0.0,,52,D+,,,,C+,
ACQC,12.26,,0.00,0.0,17,39,C-,4,,,D-,
ACSI,63.07,,-1.99,0.0,,58,C-,,,,C+,
ACVT,25.82,,-1.15,0.0,,52,C+,,,,C+,
AFT,14.86,,0.00,0.0,,56,C,,,,D+,
AGMA,117.06,,0.00,0.0,48,26,D-,74,A,,D-,7
AGRW,26.25,,-2.63,0.0,,37,B,,,D,C+,
AIF,14.82,,0.00,0.0,,53,C+,,,,D+,
AIIA,10.03,,0.00,0.0,46,61,A,3,,,C+,
AKAF,30.24,,-0.72,0.0,,80,C+,,,,C+,
ALIS,9.98,,0.00,0.0,45,61,C-,20,,,C+,
ALOR,10.88,,0.00,0.0,60,74,C-,49,,E,C,121
ALOV,9.83,,0.00,0.0,36,58,,3,,,C+,
ALPX,0.00,,,0.0,,,C+,,,,,
ALRG,25.76,,-1.94,0.0,,58,E,,,,C+,
ALUB,9.98,,0.00,0.0,49,58,A-,12,,,C+,
AMUB,22.15,,-0.94,0.0,,84,A+,,,,C+,
AMUN,26.07,,-0.04,0.0,,58,E,,,,C+,
ANEW,44.48,,-1.64,0.0,,32,A-,,,,C+,
APXM,31.28,,-0.03,190,,68,A-,,,,C+,
ARCM,100.29,,0.03,0.0,,58,E,,,,C+,
AREB,6.46,,0.00,0.0,3,1,E,63,E,,D-,
ARKD,18.15,,-2.10,0.0,,30,C+,,,,C+,
ARTC,9.81,,0.00,0.0,37,58,,3,,,C+,
BACC,10.20,,0.00,0.0,37,61,C,3,,E,C+,113
BBLB,80.77,,-0.66,0.0,,42,E,,,,C+,
BCKT,44.11,,0.07,0.0,,32,C+,,,,C+,
BDCZ,14.55,,-2.02,0.0,,23,E,,,,C+,
BEBE,9.89,,0.00,0.0,34,52,,3,,,C+,
BEBEUT,9.94,,-0.20,-98,,,,,,,,
BEEX,23.60,,-1.75,0.0,,46,C+,,,,C+,
BEEZ,31.45,,-1.69,0.0,,52,D,,,,C+,
BFAP,14.50,,-1.02,0.0,,20,B,,,,C+,
BFJA,18.15,,-1.04,0.0,,29,D+,,,,C+,
BFJL,16.77,,-0.30,0.0,,26,D-,,,,C+,
BFK,10.09,,0.00,0.0,,44,B-,,,,,
BFZ,11.11,,0.00,0.0,,41,D-,,,,,
BGRO,33.57,,-2.33,0.0,,37,C+,,,,C+,
BGRY,1.40,,0.00,0.0,34,64,B-,19,D,B,C,
BIII,9.87,,0.00,0.0,34,52,,3,,,C+,
BILD,30.06,,-0.17,0.0,,80,B,,,,C+,
BIOB,268.55,,0.00,0.0,26,33,E,42,C,,B,27
BKHA,11.60,,0.00,0.0,56,73,B,26,,E,C+,43
BKN,11.54,,0.00,0.0,,53,B-,,,,,
BLE,10.54,,0.00,0.0,,41,C+,,,,,
BLNG,10.25,,0.00,-99,35,51,B,4,,E,C,128
BOSS,25.75,,0.00,0.0,,72,C-,,,,C+,
BRIV,10.19,,0.00,0.0,68,74,A-,44,,E,C,41
BTA,9.72,,0.00,0.0,,53,B-,,,,C-,
BTR,25.44,,-0.82,0.0,,65,C+,,,,C+,
BUYO,27.04,,-1.60,0.0,,71,D-,,,,C+,
BWEB,61.57,,-3.04,0.0,,39,E,,,,C+,
BWOW,14.80,,-1.07,0.0,,12,E,,,,C+,
BYM,11.05,,0.00,0.0,,41,D-,,,,,
BYTE,9.53,,0.00,0.0,,44,A,,,,C,
CBH,9.19,,0.00,0.0,,49,D+,,,C,C-,
CBLS,29.32,,-0.03,0.0,,73,D+,,,,C+,
CBOA,24.23,,-0.12,0.0,,35,C+,,,,C+,
CBOL,23.40,,-0.04,0.0,,37,C+,,,,C+,
CBXA,21.96,,-1.26,0.0,,22,C+,,,,C+,
CBXL,20.15,,-0.59,0.0,,25,C+,,,,C+,
CCOM,24.92,,0.32,0.0,,52,,,,,C+,
CCRP,19.59,,-0.15,0.0,,46,C+,,,,C+,
CCVI,10.49,,0.00,0.0,42,65,B,9,,E,D+,55
CEM,44.64,,0.00,0.0,,67,C+,,,,C+,
CHAR,10.58,,0.00,0.0,75,65,B+,79,,E,C+,39
CHN,18.19,,0.00,0.0,,87,B-,,,,B+,
CLBR,10.07,,,0.0,,,,,,,..,
CLOD,24.75,,-3.62,0.0,,19,C,,,,C+,
CMBO,101.64,,0.03,0.0,,61,A+,,,,C+,
CORS,10.37,,0.00,0.0,48,60,B+,32,,E,C,30
CPII,19.26,,0.16,0.0,,58,B+,,,,C+,
CPNS,27.07,,-0.29,-61,,65,B+,,,,C+,
CPSP,26.38,,0.04,0.0,,68,C+,,,,C+,
CPSU,27.00,,-0.44,0.0,,65,C+,,,,C+,
CRA,10.15,,0.00,0.0,42,61,B,3,,E,C+,338
CRED,20.21,,-0.69,0.0,,46,A+,,,,C+,
CRXP,19.75,,-0.35,0.0,,52,C+,,,,C+,
CTR,40.25,,0.00,0.0,,67,C+,,,,C+,
CTWO,15.75,,-0.32,0.0,,26,C+,,,,C+,
CVRD,17.56,,-1.51,0.0,,52,B,,,E,C+,
CZAR,29.73,,-1.49,-51,,39,A+,,,,C+,
DCF,9.24,,0.00,-27,,56,D-,,,,D,
DCPH,25.59,,0.00,-28,86,97,B-,35,D,D,A,
DHAI,0.00,,0.00,0.0,7,1,D-,21,,D,A,
DHSB,25.29,,-0.94,0.0,,58,C+,,,,C+,
DISA,10.68,,0.00,-75,35,36,A,39,,E,E,71
DISH,5.77,,0.00,0.0,10,14,A-,15,C,D,D,3
DLNV,30.06,,-0.99,0.0,,46,C+,,,,C+,
DMAA,10.51,,0.00,0.0,82,68,A,79,,E,C+,58
DMF,6.93,,0.00,0.0,,33,C,,,,D+,
DNAB,10.35,,0.00,80,65,55,C+,80,,E,D+,58
DUDE,20.01,,0.00,0.0,,49,D+,,,,C+,
DVGR,23.90,,-1.48,0.0,,42,C+,,,,C+,
DVIN,26.65,,-1.66,0.0,,77,B-,,,,C+,
DVND,35.01,,-1.16,0.0,,70,B-,,,,C+,
DVRE,21.26,,-0.98,0.0,,29,E,,,,C+,
DVSP,23.87,,-2.45,0.0,,42,D+,,,,C+,
DVUT,27.41,,0.88,0.0,,73,B-,,,,C+,
DVVY,24.35,,-1.02,0.0,,58,,,,,C+,
DVXC,23.63,,-3.04,0.0,,33,B-,,,,C+,
DVXP,24.62,,1.11,0.0,,68,B-,,,,C+,
DVXV,28.05,,-2.33,0.0,,65,C+,,,,C+,
DYOR,9.96,,0.00,0.0,30,58,D-,3,,,C+,
EAOK,26.83,,-0.45,0.0,,58,D,,,,C+,
EBIT,34.75,,-1.11,0.0,,76,B+,,,,C+,
ECML,35.87,,-0.42,0.0,,81,B-,,,,C+,
EDI,5.02,,0.00,0.0,,44,B-,,,,,
EFFE,22.52,,-0.53,0.0,,52,B-,,,,C+,
EFFI,22.90,,-0.39,0.0,,58,C+,,,,C+,
EFTY,15.02,,0.00,0.0,97,97,A+,79,A,,D+,36
EGF,9.72,,0.00,0.0,,52,D+,,,,C,
EGLE,26.78,,-1.65,0.0,,46,B,,,,C+,
EMCA,25.60,,0.00,0.0,,46,E,,,,B-,
EMCH,26.51,,0.00,0.0,,71,,,,,B-,
EMDV,44.90,,-0.38,0.0,,52,D+,,,,C+,
EMES,22.59,,-0.79,0.0,,73,E,,,,C+,
EMGC,25.67,,0.00,0.0,,59,A+,,,,B-,
EMPG,17.36,,0.00,0.0,96,98,B+,79,A,,C,217
EMPW,25.46,,0.00,0.0,,52,,,,,B-,
EMZA,26.27,,0.00,0.0,,59,A+,,,,B-,
ENHI,23.54,,-1.09,0.0,,42,,,,,C+,
ENTF,10.67,,0.00,-98,74,53,A-,81,,E,C-,67
ENX,10.00,,0.00,0.0,,59,B-,,,,D,
EOCW,10.36,,0.00,0.0,45,51,B,35,,E,D+,29
EPEM,24.49,,-0.16,0.0,,80,A,,,,C+,
EPIN,22.61,,-1.09,0.0,,73,E,,,,C+,
EPMB,23.24,,-1.53,0.0,,76,C+,,,,C+,
EPMV,22.89,,-1.55,0.0,,73,C+,,,,C+,
EPSB,23.89,,-1.44,0.0,,80,C+,,,,C+,
EQOP,28.93,,0.00,0.0,,64,B+,,,,B-,
ESIX,31.16,,-1.52,0.0,,70,B-,,,,C+,
ESMV,27.68,,-1.25,0.0,,42,D-,,,,C+,
ETEC,26.34,,-1.09,0.0,,86,C+,,,,C+,
EUDV,49.48,,-1.14,0.0,,39,D+,,,,C+,
EUIG,49.26,,-0.02,0.0,,46,E,,,,C+,
EVM,9.46,,0.00,0.0,,53,B-,,,,D,
EVOX,9.96,,0.00,0.0,45,61,A-,3,,,C+,
EXEQ,23.36,,-1.52,0.0,,37,,,,,C+,
EYEG,34.94,,-0.14,0.0,,46,E,,,,C+,
FAM,6.51,,0.00,0.0,,47,B,,,,,
FATP,10.92,,0.00,0.0,31,60,C,4,,E,C-,
FCFY,24.92,,-1.66,0.0,,42,D+,,,,C+,
FDRX,15.58,,-6.14,0.0,,12,C+,,,,C+,
FEI,9.83,,0.00,0.0,,83,B,,,,C,
FEIG,40.47,,-0.22,0.0,,46,D-,,,,C+,
FEN,16.00,,0.00,0.0,,77,B-,,,,C,
FGB,4.15,,0.00,-55,,39,B-,,,,A-,
FGII,9.90,,0.00,0.0,36,58,,3,,,C+,
FGO,0.00,,,0.0,,,C+,,,,,
FGSI,18.68,,-1.79,0.0,,33,D-,,,,C+,
FIF,18.10,,0.00,0.0,,80,C+,,,C,C,
FLAO,26.79,,-1.22,0.0,,46,E,,,,C+,
FLDZ,28.52,,-1.11,0.0,,61,B-,,,,C+,
FLXI,48.30,,-0.29,0.0,,46,,,,,C+,
FMCE,24.41,,-1.97,0.0,,37,E,,,,C+,
FMIV,10.36,,0.00,-94,44,50,A,15,,E,C+,74
FORTY,124.95,,0.00,0.0,38,39,D+,27,C,,C+,54
FPL,7.76,,0.00,0.0,,83,B+,,,C,C,
FPXE,29.85,,-1.94,0.0,,58,D+,,,,C+,
FRDU,23.46,,-4.36,0.0,,24,C+,,,,C+,
FRIZ,24.15,,-1.27,0.0,,42,D-,,,,C+,
FRXB,10.43,,0.00,0.0,48,53,A+,20,,D,D+,35
FSD,12.22,,0.00,0.0,,56,B-,,,D,D+,
FSGS,28.50,,-1.93,0.0,,42,C-,,,,C+,
FSHP,10.93,,0.00,0.0,69,70,A+,40,,,C+,42
FSML,24.19,,-1.99,0.0,,52,D+,,,,C+,
FVN,10.72,,0.00,0.0,54,68,C,34,,E,C+,40
GAID,22.32,,-1.20,0.0,,28,C+,,,,C+,
GARA,26.00,,-0.15,0.0,,68,C+,,,,C+,
GAUD,23.19,,-0.90,0.0,,33,C+,,,,C+,
GBHI,24.78,,-0.24,0.0,,58,C+,,,,C+,
GDFN,24.34,,-3.45,0.0,,65,D+,,,,C+,
GDT,38.27,,3.26,0.0,,29,D+,,,,C+,
GEOA,32.69,,-1.33,0.0,,73,E,,,,C+,
GEW,49.48,,-1.14,0.0,,52,D-,,,,C+,
GFGF,30.65,,-2.23,0.0,,33,C-,,,,C+,
GGM,28.02,,0.11,0.0,,71,C,,,,C+,
GGOV,49.31,,0.24,0.0,,52,D,,,,C+,
GIW,9.97,,0.00,0.0,45,61,A-,1,,,C+,
GLBL,23.03,,-2.58,17,,68,B+,,,,C+,
GMOC,50.16,,0.06,0.0,,58,C+,,,,C+,
GRNA,0.30,,0.00,0.0,15,2,C,26,D,C,B+,
GRPZ,26.79,,-1.40,0.0,,73,B-,,,,C+,
GTERA,10.21,,0.10,-100,40,65,C+,3,,E,C+,
HAPS,30.39,,-2.09,0.0,,70,A-,,,,C+,
HAVA,10.01,,0.00,0.0,,,,,,,..,
HBRD,24.20,,-0.37,0.0,,42,,,,,C+,
HEMI,37.53,,-1.65,0.0,,37,D-,,,,C+,
HFSP,16.05,,-1.05,0.0,,37,A+,,,,C+,
HIE,12.56,,0.00,0.0,,70,B-,,,,B-,
HMA,10.54,,0.00,0.0,42,48,B,29,,,C,59
HNW,12.81,,0.00,0.0,,52,B,,,,D,
HTY,4.99,,0.00,0.0,,60,C-,,,,C,
HUAK,0.00,,,0.0,,,C+,,,,,
HVMC,10.05,,0.00,0.0,44,61,B+,3,,,C+,
HVTA,23.72,,0.00,0.0,47,76,B,26,C,,D-,21
HWAY,32.44,,-0.80,-12,,81,B,,,,C+,
HWKZ,10.26,,0.00,0.0,62,49,B-,80,,E,C,93
HWSM,26.81,,-1.69,0.0,,65,C+,,,,C+,
HYB,8.20,,0.00,0.0,,67,D-,,,,D+,
HYKE,27.25,,-0.18,0.0,,76,E,,,,C+,
IBAC,0.00,,,0.0,41,65,C-,7,,E,C+,0
IBCB,24.72,,-0.36,148,,,,,,,..,
IBGC,24.69,,-0.36,0.0,,,,,,,..,
IBGM,24.69,,-0.52,0.0,,,,,,,..,
IBHM,24.78,,,-18,,,,,,,..,
IBIM,24.80,,-0.32,9,,,,,,,..,
IBMU,25.07,,,0.0,,,,,,,..,
IBMV,0.00,,,0.0,,,,,,,..,
IBTR,24.79,,-0.08,792,,,,,,,..,
IDVY,22.55,,-1.31,0.0,,30,,,,,C+,
IFED,40.39,,-2.13,-28,,33,D,,,,C+,
IGAC,9.89,,0.00,0.0,29,58,E,3,,,C+,
IGCB,45.41,,-0.44,0.0,,46,E,,,,C+,
IGTA,8.00,,0.00,0.0,11,20,D-,3,,E,C+,
IHIT,6.92,,0.00,0.0,,29,C+,,,,D+,
IHTA,7.54,,0.00,103,,47,C-,,,,D,
IMAY,29.51,,-0.64,-22,,70,D-,,,,C+,
IMTG,48.98,,0.06,0.0,,52,,,,,C+,
INSI,16.23,,0.00,0.0,,30,D-,,,,D,
INTM,51.12,,-0.08,0.0,,61,B+,,,,C+,
IRET,18.97,,-1.15,0.0,,58,C+,,,,C+,
IRVH,19.77,,-0.30,0.0,,37,C,,,,C+,
ITHA,9.89,,0.00,0.0,36,58,C+,3,,,C+,
ITOL,23.77,,-1.41,0.0,,33,E,,,,C+,
IVRS,27.44,,-2.31,0.0,,18,B-,,,,C+,
IWFG,45.04,,-2.38,0.0,,30,C-,,,,C+,
IWFL,42.14,,-5.07,0.0,,28,B-,,,,C+,
JENA,10.22,,0.00,0.0,33,61,D-,3,,E,C+,
JEQ,8.05,,0.00,0.0,,87,B,,,,,
JHAA,0.00,,,0.0,,70,B-,,,B,C,
JHAC,13.32,,-2.06,0.0,,33,C+,,,,C+,
JIDE,45.70,,-1.02,0.0,,35,,,,,C+,
JMG,6.61,,0.00,0.0,47,85,E,79,,,D-,66
JOANQ,0.08,,0.00,0.0,1,1,E,4,E,E,B,
JPI,20.68,,0.00,0.0,,42,B,,,,C,
JPS,6.21,,0.00,989,,42,B+,,,,C+,
JPT,15.87,,0.00,203,,44,A-,,,,D+,
JRE,24.10,,-0.66,0.0,,65,B,,,,C+,
JULM,33.36,,-0.39,-96,,65,B,,,,C+,
JUNW,32.99,,-0.69,0.0,,70,C,,,,C+,
JUSA,57.38,,-1.61,0.0,,61,C+,,,,C+,
JWEL,2.45,,0.00,0.0,53,86,A-,20,E,,D,
KARB,28.17,,0.00,0.0,,18,B-,,,,C+,
KCAI,31.24,,-0.32,0.0,,65,A-,,,,C+,
KCHV,10.23,,0.00,0.0,43,65,B,3,,E,C+,205
KCSH,25.10,,0.04,0.0,,58,C+,,,,C+,
KDRN,23.13,,-0.09,0.0,,58,B-,,,,C+,
KDVD,25.25,,-1.41,0.0,,65,C+,,,,C+,
KFII,10.43,,0.00,0.0,67,65,A+,35,,E,C+,58
KJUN,27.97,,-0.60,0.0,,71,A-,,,,C+,
KMAY,28.47,,-0.42,-93,,73,A+,,,,C+,
KNO,51.28,,-0.72,-66,,71,D-,,,,C+,
KPRO,27.20,,-0.18,0.0,,35,C,,,,C+,
KSM,10.08,,0.00,0.0,,60,E,,,,D,
KVAC,12.03,,0.25,0.0,49,70,B+,10,,E,C+,67
KVSA,10.74,,0.00,-32,51,65,B+,27,,E,D+,72
LAWR,3.75,,0.00,0.0,61,73,A,38,D,,D+,
LCO,25.71,,0.86,0.0,,58,C+,,,,C+,
LEGO,9.87,,0.00,0.0,34,52,,3,,,C+,
LFAI,150.75,,-0.21,0.0,,37,D+,,,,C+,
LFAO,164.24,,-0.33,0.0,,37,B+,,,,C+,
LFAW,175.24,,-0.40,0.0,,46,A-,,,,C+,
LFBE,184.68,,-0.49,0.0,,39,C+,,,,C+,
LFDR,184.79,,-0.47,0.0,,39,E,,,,C+,
LGCF,33.93,,-0.85,0.0,,70,B+,,,,C+,
LGDX,21.32,,-1.80,0.0,,58,C+,,,,C+,
LHC,11.87,,0.00,0.0,53,87,B,6,,E,C,79
LIAE,206.11,,-0.49,0.0,,39,A+,,,,C+,
LIAM,233.29,,-0.63,0.0,,42,D-,,,,C+,
LIANY,0.06,,1.28,84,76,99,B+,26,,A,A+,
LIAU,257.60,,-0.80,0.0,,39,A+,,,,C+,
LIBD,273.31,,-0.95,0.0,,35,D+,,,,C+,
LIFT,26.52,,0.15,0.0,,27,C+,,,,C+,
LITL,28.10,,-2.06,0.0,,65,D-,,,,C+,
LPAA,10.71,,0.00,0.0,49,65,D,32,,,C+,29
LPCV,9.91,,0.00,0.0,36,58,,3,,,C+,
LSVD,28.65,,-1.75,0.0,,75,B-,,,,C+,
LVLN,24.59,,-0.20,0.0,,46,D-,,,,C+,
LVOX,3.73,,0.00,13,70,84,B,49,D,E,A-,
MAGH,6.76,,0.00,0.0,75,98,A+,3,E,,A,
MAKX,51.06,,-2.03,0.0,,82,D,,,,C+,
MAMK,13.00,,0.00,0.0,76,99,A+,3,C,,B-,
MAV,8.08,,0.00,0.0,,22,C-,,,,D-,
MAYP,30.60,,-0.81,0.0,,68,C,,,,C+,
MAYU,29.29,,-1.48,0.0,,52,B+,,,,C+,
MBAC,10.59,,0.00,0.0,50,63,A,15,,E,D+,59
MBNE,28.86,,-0.07,0.0,,58,E,,,,C+,
MCDS,58.38,,-1.23,0.0,,70,D-,,,,C+,
MCTA,29.36,,0.00,0.0,87,99,A+,79,,,C+,489
MEOA,26.54,,0.00,0.0,52,99,A+,5,,,C,204
MEVO,9.85,,0.00,0.0,36,58,,3,,,C+,
MFD,8.45,,0.00,18,,72,B,,,,,
MFV,4.41,,0.00,0.0,,59,C,,,,D,
MHI,8.95,,0.00,0.0,,25,D,,,,D-,
MHN,10.30,,0.00,0.0,,41,C+,,,,,
MHY,24.74,,0.08,0.0,,52,E,,,,C+,
MIDE,32.89,,-1.62,0.0,,73,D-,,,,C+,
MIGO,22.13,,-2.38,0.0,,35,,,,,C+,
MIO,11.39,,0.00,0.0,,22,D,,,,A-,
MJSC,52.94,,-1.62,0.0,,75,E,,,,C+,
MKAM,30.04,,-0.53,0.0,,58,E,,,,C+,
MLAA,9.85,,0.00,0.0,34,58,,3,,,C+,
MLDR,48.83,,0.10,0.0,,46,E,,,,C+,
MMSB,23.33,,0.00,0.0,,35,D,,,,C,
MMTX,9.99,,0.00,0.0,50,61,A+,3,,,C+,
MOGB,306.69,,0.00,0.0,98,94,B-,96,B,,A,32
MQT,10.30,,0.00,0.0,,53,B-,,,,,
MQY,11.79,,0.43,-12,,39,E,,,,C-,
MRND,23.57,,0.00,0.0,,72,C,,,,C,
MSTI,20.26,,0.10,0.0,,52,C,,,E,C+,
MTRA,23.33,,-1.39,0.0,,32,C-,,,,C+,
MTVR,17.53,,0.00,-92,,70,B,,,,C+,
MUE,10.07,,0.00,0.0,,41,C,,,,,
MUI,12.09,,0.00,0.0,,36,C-,,,,C-,
MULT,25.02,,0.04,0.0,,52,E,,,,C+,
MUNB,100.03,,-0.04,-94,,58,C+,,,,C+,
MUNC,101.26,,-0.03,300,,58,C+,,,,C+,
MUSE,49.00,,-0.35,0.0,,46,A-,,,,C+,
MVF,7.07,,0.00,0.0,,48,B-,,,,,
MVPL,33.08,,-1.64,0.0,,65,D-,,,,C+,
MVT,11.00,,0.00,0.0,,53,B-,,,,C-,
MYCL,24.54,,0.04,0.0,,52,E,,,,C+,
MYD,10.77,,0.00,0.0,,53,B,,,,,
MYHA,24.90,,-0.08,0.0,,58,,,,,C+,
MYMI,24.59,,0.08,0.0,,58,A+,,,,C+,
MYMJ,24.70,,0.04,0.0,,58,B,,,,C+,
MYMK,24.85,,-0.08,0.0,,52,A,,,,C+,
NBCE,34.02,,0.35,0.0,,80,A-,,,,C+,
NBGX,24.68,,-2.10,0.0,,39,D-,,,,C+,
NDP,40.40,,0.00,0.0,,84,B,,,,B-,
NDVG,34.01,,-1.08,0.0,,58,C+,,,,C+,
NHIC,10.38,,0.00,0.0,73,65,B-,79,,E,C+,69
NHYB,24.38,,-0.25,0.0,,46,C-,,,D,C+,
NID,13.00,,0.00,0.0,,54,B-,,,,D,
NKG,10.10,,0.00,0.0,,42,C+,,,,D+,
NMP,10.14,,0.00,0.0,45,65,B+,3,,E,C+,
NRSH,24.04,,-0.54,0.0,,76,B-,,,,C+,
NSCR,28.08,,-1.40,0.0,,42,E,,,,C+,
NTG,53.36,,0.00,0.0,,90,B,,,,B-,
NUO,12.66,,0.00,0.0,,49,B-,,,,D+,
NUTR,9.00,,0.00,0.0,63,95,A+,21,,,E,
NXC,13.29,,0.00,0.0,,41,D+,,,,D+,
NXN,12.14,,0.00,0.0,,47,B,,,,D+,
NYSX,94.50,,-2.15,64,,,,,,,..,
NZUS,31.92,,-2.06,0.0,,39,B,,,,C+,
OBA,10.13,,0.00,0.0,50,61,D+,35,,E,C+,169
ODHY,9.89,,-0.20,0.0,,46,A+,,,,C+,
OGSP,10.02,,0.00,0.0,,58,A,,,,C+,
OIGBQ,0.00,,0.00,0.0,4,1,E,25,D,C,B,
OIL,28.42,,0.00,0.0,,29,B-,,,,B-,
OIM,10.01,,0.00,0.0,37,58,,3,,,C+,
OOSP,10.15,,0.30,0.0,,58,E,,,,C+,
OST,1.70,,0.00,0.0,25,12,C,63,E,,C+,
PACH,10.15,,0.00,0.0,58,61,B+,35,,,C+,127
PBAU,29.30,,-0.78,0.0,,68,E,,,,C+,
PBHC,12.75,,0.00,0.0,33,26,C+,26,E,,B,
PBNV,28.56,,-0.76,0.0,,61,D,,,,C+,
PBOT,22.71,,-2.66,0.0,,33,E,,,,C+,
PBSE,28.82,,-0.76,0.0,,68,C+,,,,C+,
PC,9.40,,0.00,0.0,33,84,B-,1,E,,C-,
PCCE,12.02,,0.08,0.0,,30,E,,,,C+,
PCFI,22.89,,-0.04,0.0,,35,D-,,,,C+,
PCK,5.27,,0.00,0.0,,23,C+,,,,D+,
PCLN,24.89,,-1.62,0.0,,61,A+,,,,C+,
PCTI,6.99,,0.00,-46,59,97,B,47,D,C,E,19
PEMX,68.19,,-0.60,0.0,,83,B-,,,,C+,
PHD,9.95,,0.00,0.0,,46,C+,,,,,
PHT,8.32,,0.00,0.0,,52,D+,,,,D,
PIEL,23.77,,-0.67,0.0,,35,E,,,,C+,
PJBF,54.44,,-1.98,0.0,,32,E,,,,C+,
PJFM,59.89,,-1.35,0.0,,68,C+,,,,C+,
PLTS,17.50,,0.00,0.0,62,95,A+,20,,,E,875
PMAU,25.52,,-0.43,300,,61,A+,,,,C+,
PMDE,24.90,,-0.28,0.0,,58,D-,,,,C+,
PMF,7.76,,0.00,0.0,,18,D-,,,,D+,
PMFB,26.41,,-0.34,0.0,,65,B+,,,,C+,
PMJA,26.55,,-0.26,0.0,,65,B+,,,,C+,
PMJL,25.68,,-0.39,0.0,,65,E,,,,C+,
PMJN,26.03,,-0.42,0.0,,65,E,,,,C+,
PMMR,26.34,,-0.23,-58,,68,D-,,,,C+,
PMMY,26.32,,-0.23,0.0,,68,A,,,,C+,
PMNV,24.95,,-0.32,44,,58,E,,,,C+,
PMOC,25.09,,-0.32,0.0,,61,A,,,,C+,
PMSE,25.35,,-0.35,0.0,,61,B,,,,C+,
PMX,6.68,,0.00,-13,,21,E,,,,D,
PNF,6.81,,0.00,0.0,,22,B-,,,,D+,
PPEM,18.29,,-0.60,0.0,,16,B-,,,C,C+,
PQAP,29.02,,-0.14,0.0,,73,B+,,,,C+,
PQJL,27.87,,-1.21,0.0,,68,E,,,,C+,
PRAB,25.03,,0.12,142,,58,,,,,C+,
PRAE,36.85,,0.19,0.0,,75,A,,,,C+,
PRTO,24.79,,-0.44,0.0,,,,,,,..,
PSMR,30.10,,-0.23,75,,71,B,,,,C+,
PTNM,10.39,,0.00,0.0,64,93,A+,3,B,,C,520
PWER,39.79,,1.12,-83,,89,B+,,,,C+,
PYN,5.15,,0.00,0.0,,22,D-,,,,D+,
PYPU,24.27,,-7.01,0.0,,,,,,,..,
PZC,6.10,,0.00,0.0,,20,E,,,,D+,
QB,42.73,,-0.19,0.0,,70,C+,,,,C+,
QFHD,25.98,,-0.31,0.0,,68,B-,,,,C+,
QFRD,22.40,,-2.82,0.0,,35,E,,,,C+,
QLVE,28.93,,-0.45,0.0,,70,B+,,,,C+,
QMMM,119.40,,0.00,0.0,56,99,A+,20,E,,C-,
QULL,49.53,,-3.19,0.0,,58,E,,,,C+,
RAAR,50.06,,0.02,554,,58,,,,,C+,
RAAY,100.08,,-0.03,-94,,58,,,,,C+,
RANG,10.51,,0.00,0.0,63,65,A,35,,,C+,58
RAYJ,34.30,,-0.44,0.0,,76,B-,,,,C+,
RCGE,27.04,,-0.77,0.0,,58,C+,,,,C+,
RCLY,98.13,,-0.07,-50,,46,,,,,C+,
REAI,19.10,,-1.55,0.0,,58,A+,,,,C+,
REFA,20.50,,-0.77,0.0,,61,C+,,,,C+,
REMC,19.70,,-1.35,-92,,46,C+,,,,C+,
RESM,20.05,,-1.43,0.0,,52,C+,,,,C+,
RHTX,18.06,,-0.66,0.0,,70,C,,,,C+,
RMRC,23.53,,-0.76,0.0,,37,,,,,C+,
RTAI,20.42,,-0.73,0.0,,46,D,,,,C+,
RVRB,33.49,,0.00,0.0,,61,E,,,,C+,
SAC,9.96,,0.00,0.0,34,58,,3,,,C+,
SAWG,20.06,,-1.91,0.0,,42,A+,,,,C+,
SAWS,20.97,,-1.18,0.0,,70,D+,,,,C+,
SBXE,9.92,,0.00,0.0,45,58,A,3,,,C+,
SCAQ,10.43,,0.00,0.0,49,52,A-,29,,E,C,174
SCDL,48.67,,-0.98,0.0,,88,D-,,,,C+,
SCDS,60.31,,-1.60,0.0,,77,E,,,,C+,
SCII,10.02,,0.00,0.0,38,61,C+,3,,,C+,
SCLS,24.20,,1.42,0.0,,86,A+,,,,C+,
SCOW,19.09,,-0.31,0.0,,35,E,,,,C+,
SCPQ,9.90,,0.00,0.0,36,58,,3,,,C+,
SDAC,10.40,,0.00,0.0,35,53,B-,8,,E,C-,95
SDCP,25.53,,-0.04,0.0,,52,A+,,,,C+,
SDHI,10.30,,0.00,0.0,51,61,D+,35,,E,C+,
SDM,1.85,,0.00,0.0,17,15,C-,20,A,,E,23
SECD,19.99,,0.00,0.0,,41,C+,,,,B-,
SECOY,0.00,,0.00,92,7,9,B,2,E,,A-,
SENEB,148.03,,0.00,0.0,86,93,A,64,C,,B-,13
SHUS,45.98,,-0.82,0.0,,70,B+,,,,C+,
SIFI,42.92,,-0.02,0.0,,46,E,,,,C+,
SJCP,24.76,,-0.12,0.0,,52,B+,,,,C+,
